lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,all,B season,2017,NA,464898,2064,NE Asia,NA,0.461,0.014,0.433,0.461,0.49,1,
Bering Sea,all,early,2017,NA,287683,1307,NE Asia,NA,0.481,0.018,0.447,0.481,0.515,1,
Bering Sea,all,middle,2017,NA,142265,589,NE Asia,NA,0.463,0.027,0.41,0.463,0.515,1,
Bering Sea,all,late,2017,NA,34950,168,NE Asia,NA,0.294,0.047,0.204,0.293,0.388,1,
Bering Sea,Eastern,all,2016,NA,289278,2332,SE Asia,NA,0.070,0.006,0.059,0.070,0.082,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2016,NA,49816,369,NE Asia,NA,0.341,0.031,0.281,0.341,0.401,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2017,NA,134212,640,NE Asia,NA,0.372,0.025,0.324,0.372,0.421,1,
Bering Sea,Cluster 1,late,2017,NA,18133,94,NE Asia,NA,0.349,0.042,0.27,0.348,0.432,1,
Bering Sea,Cluster 2,early,2016,NA,13045,185,SW Alaska,NA,0.009,0.013,0,0,0.044,1.00,
Bering Sea,Cluster 2,late,2015,NA,8701,195,Western AK,NA,0.041,0.021,0.007,0.039,0.090,1.00,
Bering Sea,Cluster 3,early,2017,NA,31915,155,NE Asia,NA,0.536,0.046,0.445,0.536,0.625,1,
Bering Sea,Cluster 3,late,2017,NA,2815,12,NE Asia,NA,0.332,0.068,0.203,0.331,0.467,1,
Bering Sea,Cluster 4,early,2017,NA,6090,35,NE Asia,NA,0.489,0.045,0.401,0.49,0.578,1,
Bering Sea,Cluster 4,late,2017,NA,19078,83,NE Asia,NA,0.401,0.043,0.318,0.401,0.486,1,
Bering Sea,all,all,2013,NA,,,SE Asia,NA,0.1465,0.0063,0.1344,0.1464,0.1589,1.00,
Bering Sea,all,early,2013,NA,,,SE Asia,NA,0.2205,0.0132,0.1954,0.2204,0.2466,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,SE Asia,NA,0.0924,0.0082,0.0770,0.0922,0.1090,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,SE Asia,NA,0.1490,0.0116,0.1273,0.1488,0.1725,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,SE Asia,NA,0.1439,0.0111,0.1226,0.1437,0.1664,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,SE Asia,NA,0.1609,0.0146,0.1332,0.1606,0.1904,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,SE Asia,NA,0.1047,0.0161,0.0752,0.1040,0.1385,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,SE Asia,NA,0.2350,0.0269,0.1838,0.2341,0.2898,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,SE Asia,NA,0.0656,0.0090,0.0491,0.0653,0.0842,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,SE Asia,NA,0.0764,0.0140,0.0510,0.0757,0.1061,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,SE Asia,NA,0.5980,0.0541,0.4906,0.5984,0.7029,1.00,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,SE Asia,NA,0.2515,0.0390,0.1789,0.2502,0.3310,1.00,weeks 24-29
Bering Sea,NMFS 521,late,2013,NA,,,SE Asia,NA,0.1909,0.0168,0.1590,0.1905,0.2250,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,SE Asia,NA,0.1013,0.0081,0.0861,0.1011,0.1177,1.00,"NMFS 513, 517, 519"
Bering Sea,Western,all,2013,NA,,,SE Asia,NA,0.2472,0.0158,0.2171,0.2470,0.2790,1.00,"NMFS 521, 523, 524"
GOA,all,all,2016,NA,3518,473,NE Asia,NA,0.026,0.010,0.009,0.025,0.049,1.00,
Bering Sea,all,all,2014,NA,1741,,SE Asia,NA,0.1853,0.0103,0.1655,0.1852,0.2058,1.00,
Bering Sea,all,early,2014,NA,249,,SE Asia,NA,0.2831,0.0305,0.2254,0.2824,0.3441,1.00,
Bering Sea,all,middle,2014,NA,957,,SE Asia,NA,0.1390,0.0127,0.1151,0.1386,0.1648,1.00,
Bering Sea,all,late,2014,NA,535,,SE Asia,NA,0.2222,0.0194,0.1854,0.2218,0.2614,1.00,
Bering Sea,Eastern,all,2016,NA,289278,2332,SW Alaska,NA,0.015,0.005,0.006,0.014,0.026,1.01,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2014,NA,580,,E GOA/PNW,NA,0.1631,0.0176,0.1300,0.1627,0.1985,1.00,"NMFS 521, 523, 524"
Bering Sea,NMFS 509,early-mid,2014,NA,90,,SE Asia,NA,0.1378,0.0377,0.0718,0.1353,0.2184,1.00,
Bering Sea,NMFS 517,early-mid,2014,NA,784,,SE Asia,NA,0.1334,0.0139,0.1071,0.1330,0.1615,1.00,
Bering Sea,NMFS 517,late,2014,NA,252,,SE Asia,NA,0.0630,0.0172,0.0336,0.0615,0.1006,1.00,
Bering Sea,NMFS 521,early-mid,2014,NA,295,,SE Asia,NA,0.2875,0.0285,0.2335,0.2870,0.3451,1.00,
Bering Sea,NMFS 521,late,2014,NA,221,,SE Asia,NA,0.3309,0.0337,0.2667,0.3305,0.3978,1.00,
GOA,all,all,2015,NA,1823,131,SE Asia,NA,0.033,0.017,0.008,0.030,0.072,1.00,
Bering Sea,all,A season,2015,NA,4647,142,SE Asia,NA,0.032,0.019,0.005,0.029,0.077,1.00,
Bering Sea,all,B season,2015,NA,232039,1836,SE Asia,NA,0.097,0.008,0.083,0.096,0.112,1.00,
Bering Sea,all,early,2015,NA,19138,162,SE Asia,NA,0.414,0.041,0.335,0.414,0.497,1.00,
Bering Sea,all,middle,2015,NA,122880,959,SE Asia,NA,0.059,0.009,0.043,0.059,0.077,1.00,
Bering Sea,all,late,2015,NA,90021,715,SE Asia,NA,0.071,0.011,0.052,0.070,0.093,1.00,
Bering Sea,NMFS 517,all,2015,NA,172641,1362,SE Asia,NA,0.043,0.006,0.032,0.043,0.056,1.00,
Bering Sea,NMFS 517,early,2015,NA,8388,71,SE Asia,NA,0.266,0.055,0.166,0.264,0.380,1.00,
Bering Sea,NMFS 517,middle,2015,NA,90438,698,SE Asia,NA,0.028,0.007,0.015,0.027,0.044,1.00,
Bering Sea,NMFS 517,late,2015,NA,73815,593,SE Asia,NA,0.030,0.008,0.016,0.029,0.047,1.00,
Bering Sea,NMFS 521,all,2015,NA,54442,423,SE Asia,NA,0.279,0.023,0.235,0.279,0.326,1.00,
Bering Sea,NMFS 521,early,2015,NA,9619,81,SE Asia,NA,0.567,0.059,0.451,0.568,0.680,1.00,
Bering Sea,NMFS 521,middle,2015,NA,30340,235,SE Asia,NA,0.165,0.026,0.118,0.165,0.219,1.00,
Bering Sea,NMFS 521,late,2015,NA,14483,107,SE Asia,NA,0.302,0.047,0.212,0.301,0.399,1.00,
Bering Sea,Eastern,all,2016,NA,289278,2332,Up/Mid Yukon,NA,0.055,0.007,0.041,0.055,0.071,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2014,NA,580,,NE Asia,NA,0.3757,0.0254,0.3264,0.3752,0.4261,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,all,2015,NA,,1162,SE Asia,NA,0.027,0.005,0.017,0.026,0.038,1.00,
Bering Sea,Cluster 2,all,2015,NA,,381,SE Asia,NA,0.133,0.019,0.098,0.132,0.173,1.00,
Bering Sea,Cluster 3,all,2015,NA,,387,SE Asia,NA,0.144,0.019,0.109,0.144,0.184,1.00,
Bering Sea,Cluster 4,all,2015,NA,,387,SE Asia,NA,0.517,0.028,0.463,0.517,0.570,1.00,
Bering Sea,Cluster 1,early,2015,NA,25417,213,SE Asia,NA,0.058,0.018,0.028,0.056,0.097,1.00,
Bering Sea,Cluster 1,late,2015,NA,118231,949,SE Asia,NA,0.020,0.005,0.011,0.020,0.031,1.00,
Bering Sea,Cluster 3,early,2015,NA,15723,196,E GOA/PNW,NA,0.221,0.034,0.158,0.220,0.290,1.00,
Bering Sea,Cluster 2,late,2016,NA,73346,535,E GOA/PNW,NA,0.387,0.024,0.341,0.387,0.435,1.01,
Bering Sea,Cluster 3,early,2015,NA,15723,196,NE Asia,NA,0.313,0.043,0.231,0.312,0.400,1.00,
Bering Sea,Cluster 3,late,2015,NA,24251,191,SE Asia,NA,0.090,0.023,0.050,0.088,0.139,1.00,
Bering Sea,Cluster 3,early,2015,NA,15723,196,SE Asia,NA,0.200,0.030,0.144,0.199,0.263,1.00,
Bering Sea,Cluster 4,late,2015,NA,14343,190,SE Asia,NA,0.387,0.039,0.313,0.387,0.464,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 27-32,2015,NA,,118,SE Asia,NA,0.018,0.015,0.000,0.015,0.055,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 33,2015,NA,,200,SE Asia,NA,0.023,0.012,0.005,0.021,0.052,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 34-36,2015,NA,,117,SE Asia,NA,0.003,0.006,0.000,0.000,0.022,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 37-40,2015,NA,,115,SE Asia,NA,0.010,0.010,0.000,0.006,0.037,1.00,
Bering Sea,Cluster 2 (ADFG 675500),Wk 38-39,2015,NA,,143,SE Asia,NA,0.108,0.029,0.058,0.106,0.170,1.00,
Bering Sea,Cluster 3 (ADFG 705600),Wk 32-34,2015,NA,,118,SE Asia,NA,0.074,0.026,0.030,0.072,0.132,1.00,
GOA,all,all,2016,NA,3518,473,SE Asia,NA,0.010,0.005,0.002,0.010,0.023,1.00,
Bering Sea,all,A season,2016,NA,3726,114,SE Asia,NA,0.195,0.039,0.124,0.193,0.277,1.00,
Bering Sea,all,B season,2016,NA,339094,2701,SE Asia,NA,0.088,0.006,0.077,0.088,0.100,1.00,
Bering Sea,all,early,2016,NA,56835,453,SE Asia,NA,0.280,0.022,0.237,0.279,0.325,1.00,
Bering Sea,all,middle,2016,NA,166973,1333,SE Asia,NA,0.057,0.007,0.044,0.057,0.072,1.00,
Bering Sea,all,late,2016,NA,115286,915,SE Asia,NA,0.041,0.008,0.028,0.041,0.057,1.01,
Bering Sea,NMFS 517,all,2015,NA,263180,2126,SE Asia,NA,0.065,0.006,0.053,0.065,0.077,1.00,
Bering Sea,NMFS 517,early,2015,NA,32564,262,SE Asia,NA,0.229,0.028,0.177,0.228,0.285,1.00,
Bering Sea,NMFS 517,middle,2016,NA,124946,1024,SE Asia,NA,0.042,0.007,0.029,0.042,0.058,1.00,
Bering Sea,NMFS 517,late,2016,NA,105670,840,SE Asia,NA,0.044,0.008,0.030,0.044,0.061,1.01,
Bering Sea,NMFS 521,all,2016,NA,44785,329,SE Asia,NA,0.210,0.024,0.165,0.209,0.259,1.00,
Bering Sea,NMFS 521,early,2016,NA,12955,102,SE Asia,NA,0.448,0.052,0.350,0.448,0.552,1.00,
Bering Sea,NMFS 521,middle,2016,NA,31449,225,SE Asia,NA,0.089,0.021,0.052,0.087,0.134,1.05,
Bering Sea,Eastern,all,2016,NA,289278,2332,Western AK,NA,0.210,0.012,0.187,0.210,0.233,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2016,NA,49816,369,SE Asia,NA,0.200,0.023,0.157,0.200,0.246,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2016,NA,111336,1043,SE Asia,NA,0.092,0.010,0.074,0.091,0.111,1.01,
Bering Sea,Cluster 1,late,2016,NA,88941,681,SE Asia,NA,0.023,0.007,0.012,0.023,0.038,1.00,
Bering Sea,Cluster 2,early,2016,NA,13045,185,Up/Mid Yukon,NA,0.088,0.029,0.036,0.087,0.147,1.00,
Bering Sea,Cluster 2,late,2016,NA,73346,535,NE Asia,NA,0.349,0.026,0.298,0.349,0.402,1.01,
Bering Sea,Cluster 3,early,2016,NA,29591,320,SE Asia,NA,0.244,0.026,0.195,0.244,0.297,1.00,
Bering Sea,Cluster 3,late,2016,NA,15170,178,SE Asia,NA,0.088,0.022,0.049,0.086,0.135,1.00,
Bering Sea,Cluster 4,late,2016,NA,6931,184,SE Asia,NA,0.165,0.030,0.109,0.164,0.228,1.00,
GOA,all,all,2015,NA,1823,131,SW Alaska,NA,0.004,0.009,0,0,0.030,1.00,
Bering Sea,all,B season,2017,NA,464898,2064,SE Asia,NA,0.157,0.009,0.14,0.156,0.174,1,
Bering Sea,all,early,2017,NA,287683,1307,SE Asia,NA,0.18,0.012,0.158,0.18,0.204,1,
Bering Sea,all,middle,2017,NA,142265,589,SE Asia,NA,0.127,0.016,0.098,0.126,0.158,1,
Bering Sea,all,late,2017,NA,34950,168,SE Asia,NA,0.119,0.029,0.069,0.117,0.181,1,
Bering Sea,Eastern,all,2014,NA,1161,,Western AK,NA,0.2092,0.0158,0.1790,0.2090,0.2407,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2016,NA,49816,369,SW Alaska,NA,0.008,0.008,0,0.006,0.027,1.01,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2017,NA,134212,640,SE Asia,NA,0.147,0.016,0.118,0.147,0.179,1,
Bering Sea,Cluster 1,late,2017,NA,18133,94,SE Asia,NA,0.023,0.011,0.006,0.021,0.049,1,
Bering Sea,Cluster 2,early,2016,NA,13045,185,Western AK,NA,0.174,0.042,0.098,0.172,0.260,1.00,
Bering Sea,Cluster 2,late,2016,NA,73346,535,SE Asia,NA,0.068,0.012,0.046,0.067,0.093,1.00,
Bering Sea,Cluster 3,early,2017,NA,31915,155,SE Asia,NA,0.243,0.033,0.182,0.242,0.311,1,
Bering Sea,Cluster 3,late,2017,NA,2815,12,SE Asia,NA,0.135,0.04,0.067,0.132,0.221,1,
Bering Sea,Cluster 4,early,2017,NA,6090,35,SE Asia,NA,0.25,0.034,0.186,0.249,0.321,1,
Bering Sea,Cluster 4,late,2017,NA,19078,83,SE Asia,NA,0.346,0.037,0.276,0.346,0.419,1,
Bering Sea,all,all,2013,NA,,,SW Alaska,NA,0.0140,0.0029,0.0089,0.0138,0.0202,1.00,
Bering Sea,all,early,2013,NA,,,SW Alaska,NA,0.0319,0.0076,0.0181,0.0315,0.0478,1.00,weeks 24-29
Bering Sea,all,middle,2013,NA,,,SW Alaska,NA,0.0154,0.0047,0.0073,0.0151,0.0255,1.00,weeks 30-34
Bering Sea,all,late,2013,NA,,,SW Alaska,NA,0.0062,0.0036,0.0009,0.0057,0.0147,1.00,weeks 35-43
Bering Sea,NMFS 509,all,2013,NA,,,SW Alaska,NA,0.0320,0.0072,0.0193,0.0315,0.0472,1.00,
Bering Sea,NMFS 509,early,2013,NA,,,SW Alaska,NA,0.0363,0.0087,0.021,0.0356,0.0551,1.00,weeks 24-29
Bering Sea,NMFS 509,middle,2013,NA,,,SW Alaska,NA,0.0323,0.0126,0.0113,0.0311,0.0602,1.00,weeks 30-34
Bering Sea,NMFS 517,early,2013,NA,,,SW Alaska,NA,0.0297,0.0171,0.0000,0.0288,0.0662,1.00,weeks 24-29
Bering Sea,NMFS 517,middle,2013,NA,,,SW Alaska,NA,0.0093,0.0046,0.0019,0.0087,0.0198,1.00,weeks 30-34
Bering Sea,NMFS 517,late,2013,NA,,,SW Alaska,NA,0.0140,0.0076,0.0028,0.0127,0.0321,1.00,weeks 35-43
Bering Sea,NMFS 521,early,2013,NA,,,SW Alaska,NA,0.0041,0.0090,0.0000,0.0003,0.0314,1.00,weeks 24-29
Bering Sea,NMFS 521,middle,2013,NA,,,SW Alaska,NA,0.0036,0.0078,0.0000,0.0003,0.0273,1.00,weeks 30-34
Bering Sea,NMFS 521,late,2013,NA,,,SW Alaska,NA,0.0009,0.0021,0.0000,0.0001,0.0072,1.00,weeks 35-43
Bering Sea,Eastern,all,2013,NA,,,SW Alaska,NA,0.0114,0.004,0.0046,0.0111,0.0203,1.00,"NMFS 513, 517, 519"
Bering Sea,Western,all,2013,NA,,,SW Alaska,NA,0.0007,0.0014,0.0000,0.0000,0.0050,1.00,"NMFS 521, 523, 524"
GOA,all,all,2016,NA,3518,473,SW Alaska,NA,0.016,0.009,0.001,0.015,0.036,1.00,
Bering Sea,all,all,2014,NA,1741,,SW Alaska,NA,0.0066,0.0033,0.0010,0.0063,0.0142,1.00,
Bering Sea,all,early,2014,NA,249,,SW Alaska,NA,0.0277,0.0158,0.0019,0.0261,0.0631,1.00,
Bering Sea,all,middle,2014,NA,957,,SW Alaska,NA,0.0061,0.0045,0.0000,0.0054,0.0165,1.00,
Bering Sea,all,late,2014,NA,535,,SW Alaska,NA,0.0019,0.0037,0.0000,0.0002,0.0129,1.00,
Bering Sea,Eastern,all,2014,NA,1161,,E GOA/PNW,NA,0.2724,0.0147,0.2441,0.2722,0.302,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2014,NA,580,,SE Asia,NA,0.3259,0.021,0.2852,0.3257,0.3674,1.00,"NMFS 521, 523, 524"
Bering Sea,NMFS 509,early-mid,2014,NA,90,,SW Alaska,NA,0.0638,0.0358,0.0056,0.0597,0.1443,1.00,
Bering Sea,NMFS 517,early-mid,2014,NA,784,,SW Alaska,NA,0.0101,0.0053,0.0014,0.0095,0.0219,1.00,
Bering Sea,NMFS 517,late,2014,NA,252,,SW Alaska,NA,0.0054,0.0092,0.0000,0.0008,0.0323,1.00,
Bering Sea,NMFS 521,early-mid,2014,NA,295,,SW Alaska,NA,0.0041,0.0069,0.0000,0.0007,0.0243,1.00,
Bering Sea,NMFS 521,late,2014,NA,221,,SW Alaska,NA,0.0089,0.0114,0.0000,0.0039,0.0391,1.00,
GOA,all,all,2015,NA,1823,131,Up/Mid Yukon,NA,0.002,0.005,0,0,0.017,1.00,
Bering Sea,all,A season,2015,NA,4647,142,SW Alaska,NA,0.006,0.010,0,0.001,0.034,1.00,
Bering Sea,all,B season,2015,NA,232039,1836,SW Alaska,NA,0.016,0.005,0.007,0.016,0.027,1.00,
Bering Sea,all,early,2015,NA,19138,162,SW Alaska,NA,0.011,0.010,0,0.008,0.038,1.00,
Bering Sea,all,middle,2015,NA,122880,959,SW Alaska,NA,0.014,0.005,0.005,0.013,0.026,1.00,
Bering Sea,all,late,2015,NA,90021,715,SW Alaska,NA,0.020,0.008,0.005,0.019,0.037,1.00,
Bering Sea,NMFS 517,all,2015,NA,172641,1362,SW Alaska,NA,0.024,0.006,0.013,0.024,0.036,1.00,
Bering Sea,NMFS 517,early,2015,NA,8388,71,SW Alaska,NA,0.028,0.023,0.001,0.022,0.087,1.00,
Bering Sea,NMFS 517,middle,2015,NA,90438,698,SW Alaska,NA,0.022,0.009,0.009,0.021,0.041,1.00,
Bering Sea,NMFS 517,late,2015,NA,73815,593,SW Alaska,NA,0.024,0.009,0.009,0.023,0.042,1.00,
Bering Sea,NMFS 521,all,2015,NA,54442,423,SW Alaska,NA,0.004,0.006,0,0.001,0.021,1.00,
Bering Sea,NMFS 521,early,2015,NA,9619,81,SW Alaska,NA,0.003,0.009,0,0,0.028,1.00,
Bering Sea,NMFS 521,middle,2015,NA,30340,235,SW Alaska,NA,0.002,0.005,0,0,0.016,1.00,
Bering Sea,NMFS 521,late,2015,NA,14483,107,SW Alaska,NA,0.012,0.018,0,0.004,0.060,1.00,
Bering Sea,Eastern,all,2014,NA,1161,,NE Asia,NA,0.3707,0.0182,0.3351,0.3705,0.4069,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2016,NA,49816,369,Up/Mid Yukon,NA,0.059,0.016,0.029,0.058,0.092,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,all,2015,NA,,1162,SW Alaska,NA,0.026,0.007,0.013,0.025,0.040,1.00,
Bering Sea,Cluster 2,all,2015,NA,,381,SW Alaska,NA,0.021,0.010,0.004,0.019,0.044,1.00,
Bering Sea,Cluster 3,all,2015,NA,,387,SW Alaska,NA,0.008,0.006,0.000,0.006,0.023,1.00,
Bering Sea,Cluster 4,all,2015,NA,,387,SW Alaska,NA,0.007,0.007,0.000,0.005,0.025,1.00,
Bering Sea,Cluster 1,early,2015,NA,25417,213,SW Alaska,NA,0.008,0.010,0.000,0.004,0.036,1.00,
Bering Sea,Cluster 1,late,2015,NA,118231,949,SW Alaska,NA,0.026,0.008,0.012,0.025,0.041,1.00,
Bering Sea,Cluster 3,early,2015,NA,15723,196,SW Alaska,NA,0.027,0.017,0.002,0.025,0.067,1.00,
Bering Sea,Cluster 2,late,2016,NA,73346,535,SW Alaska,NA,0.032,0.012,0.012,0.031,0.059,1.01,
Bering Sea,Cluster 3,early,2015,NA,15723,196,Up/Mid Yukon,NA,0.050,0.023,0.014,0.048,0.102,1.00,
Bering Sea,Cluster 3,late,2015,NA,24251,191,SW Alaska,NA,0.002,0.004,0.000,0.000,0.012,1.00,
Bering Sea,Cluster 3,early,2015,NA,15723,196,Western AK,NA,0.188,0.039,0.116,0.187,0.269,1.00,
Bering Sea,Cluster 4,late,2015,NA,14343,190,SW Alaska,NA,0.012,0.012,0.000,0.009,0.044,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 27-32,2015,NA,,118,SW Alaska,NA,0.009,0.015,0.000,0.001,0.050,1.01,
Bering Sea,Cluster 1 (ADFG 655430),Wk 33,2015,NA,,200,SW Alaska,NA,0.024,0.016,0.003,0.020,0.064,1.01,
Bering Sea,Cluster 1 (ADFG 655430),Wk 34-36,2015,NA,,117,SW Alaska,NA,0.011,0.015,0.000,0.005,0.054,1.00,
Bering Sea,Cluster 1 (ADFG 655430),Wk 37-40,2015,NA,,115,SW Alaska,NA,0.004,0.009,0.000,0.000,0.031,1.01,
Bering Sea,Cluster 2 (ADFG 675500),Wk 38-39,2015,NA,,143,SW Alaska,NA,0.005,0.009,0.000,0.001,0.031,1.00,
Bering Sea,Cluster 3 (ADFG 705600),Wk 32-34,2015,NA,,118,SW Alaska,NA,0.003,0.006,0.000,0.000,0.020,1.00,
GOA,all,all,2016,NA,3518,473,Up/Mid Yukon,NA,0.001,0.003,0,0.000,0.009,1.00,
Bering Sea,all,A season,2016,NA,3726,114,SW Alaska,NA,0.025,0.032,0,0.009,0.105,1.02,
Bering Sea,all,B season,2016,NA,339094,2701,SW Alaska,NA,0.013,0.004,0.006,0.012,0.022,1.00,
Bering Sea,all,early,2016,NA,56835,453,SW Alaska,NA,0.012,0.007,0.002,0.011,0.027,1.00,
Bering Sea,all,middle,2016,NA,166973,1333,SW Alaska,NA,0.015,0.006,0.006,0.015,0.027,1.00,
Bering Sea,all,late,2016,NA,115286,915,SW Alaska,NA,0.021,0.010,0.006,0.020,0.042,1.01,
Bering Sea,NMFS 517,all,2015,NA,263180,2126,SW Alaska,NA,0.015,0.005,0.006,0.014,0.027,1.00,
Bering Sea,NMFS 517,early,2015,NA,32564,262,SW Alaska,NA,0.026,0.013,0.006,0.025,0.057,1.00,
Bering Sea,NMFS 517,middle,2016,NA,124946,1024,SW Alaska,NA,0.013,0.007,0.003,0.012,0.029,1.00,
Bering Sea,NMFS 517,late,2016,NA,105670,840,SW Alaska,NA,0.018,0.009,0.004,0.016,0.039,1.01,
Bering Sea,NMFS 521,all,2016,NA,44785,329,SW Alaska,NA,0.005,0.007,0,0.003,0.023,1.01,
Bering Sea,NMFS 521,early,2016,NA,12955,102,SW Alaska,NA,0.003,0.007,0,0.000,0.024,1.00,
Bering Sea,NMFS 521,middle,2016,NA,31449,225,SW Alaska,NA,0.008,0.010,0.000,0.004,0.033,1.00,
Bering Sea,Eastern,all,2014,NA,1161,,SE Asia,NA,0.1156,0.0106,0.0955,0.1153,0.1369,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2016,NA,49816,369,Western AK,NA,0.079,0.021,0.043,0.077,0.124,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2016,NA,111336,1043,SW Alaska,NA,0.020,0.007,0.008,0.019,0.034,1.00,
Bering Sea,Cluster 1,late,2016,NA,88941,681,SW Alaska,NA,0.012,0.008,0.002,0.011,0.031,1.00,
Bering Sea,Cluster 2,early,2017,NA,207139,809,E GOA/PNW,NA,0.081,0.012,0.058,0.08,0.106,1,
Bering Sea,Cluster 2,late,2016,NA,73346,535,Up/Mid Yukon,NA,0.030,0.010,0.014,0.029,0.053,1.03,
Bering Sea,Cluster 3,early,2016,NA,29591,320,SW Alaska,NA,0.012,0.008,0,0.010,0.030,1.01,
Bering Sea,Cluster 3,late,2016,NA,15170,178,SW Alaska,NA,0.029,0.018,0.001,0.027,0.071,1.00,
Bering Sea,Cluster 4,late,2016,NA,6931,184,SW Alaska,NA,0.011,0.015,0,0.004,0.053,1.00,
GOA,all,all,2015,NA,1823,131,Western AK,NA,0.030,0.020,0,0.027,0.075,1.00,
Bering Sea,all,B season,2017,NA,464898,2064,SW Alaska,NA,0.032,0.006,0.021,0.032,0.044,1,
Bering Sea,all,early,2017,NA,287683,1307,SW Alaska,NA,0.029,0.007,0.016,0.028,0.044,1,
Bering Sea,all,middle,2017,NA,142265,589,SW Alaska,NA,0.038,0.013,0.017,0.037,0.067,1,
Bering Sea,all,late,2017,NA,34950,168,SW Alaska,NA,0.044,0.022,0.011,0.042,0.095,1,
Bering Sea,Eastern,all,2014,NA,1161,,SW Alaska,NA,0.0072,0.0044,0.0001,0.0066,0.0173,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2014,NA,580,,SW Alaska,NA,0.0073,0.0072,0.0000,0.0056,0.0245,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2017,NA,134212,640,SW Alaska,NA,0.036,0.011,0.017,0.035,0.06,1.01,
Bering Sea,Cluster 1,late,2017,NA,18133,94,SW Alaska,NA,0.057,0.024,0.017,0.055,0.11,1,
Bering Sea,Cluster 2,early,2017,NA,207139,809,NE Asia,NA,0.539,0.022,0.495,0.539,0.583,1,
Bering Sea,Cluster 2,late,2016,NA,73346,535,Western AK,NA,0.133,0.020,0.096,0.133,0.174,1.00,
Bering Sea,Cluster 3,early,2017,NA,31915,155,SW Alaska,NA,0.004,0.008,0,0.001,0.028,1,
Bering Sea,Cluster 3,late,2017,NA,2815,12,SW Alaska,NA,0.064,0.034,0.012,0.06,0.144,1,
Bering Sea,Cluster 4,early,2017,NA,6090,35,SW Alaska,NA,0.004,0.008,0,0,0.027,1,
Bering Sea,Cluster 4,late,2017,NA,19078,83,SW Alaska,NA,0.014,0.015,0,0.009,0.055,1.01,
GOA,all,all,2016,NA,3518,473,Western AK,NA,0.018,0.007,0.006,0.017,0.034,1.00,
Bering Sea,all,B season,2017,NA,464898,2064,Up/Mid Yukon,NA,0.06,0.007,0.047,0.06,0.075,1,
Bering Sea,all,early,2017,NA,287683,1307,Up/Mid Yukon,NA,0.073,0.01,0.054,0.072,0.094,1,
Bering Sea,all,middle,2017,NA,142265,589,Up/Mid Yukon,NA,0.025,0.009,0.01,0.024,0.044,1,
Bering Sea,all,late,2017,NA,34950,168,Up/Mid Yukon,NA,0.05,0.022,0.014,0.048,0.099,1,
Bering Sea,Eastern,all,2014,NA,1161,,Up/Mid Yukon,NA,0.0250,0.0081,0.0101,0.0246,0.0418,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2015,NA,55153,429,E GOA/PNW,NA,0.288,0.024,0.242,0.288,0.337,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2017,NA,134212,640,Up/Mid Yukon,NA,0.064,0.015,0.037,0.063,0.094,1,
Bering Sea,Cluster 1,late,2017,NA,18133,94,Up/Mid Yukon,NA,0.056,0.022,0.02,0.054,0.106,1,
