Analysis,Russia,CoastWAK,MidYukon,UpYukon,NAKPen,NWGOA,Copper,NEGOA,CoastSEAK,BC,WestCoastUS
BSAI_A,0.006,0.459,0.01,0.036,0.145,0.028,0.002,0,0.039,0.191,0.084
BSAI_B,0.001,0.274,0.016,0.011,0.01,0.082,0.001,0.001,0.063,0.266,0.275
BSAI_All,0.005,0.396,0.017,0.027,0.106,0.04,0.001,0,0.045,0.218,0.145
SGI_A,0.008,0.561,0.031,0.056,0.18,0.03,0.002,0.001,0.042,0.07,0.021
NW BSAI,0.01,0.569,0.019,0.064,0.174,0.031,0.004,0,0.045,0.062,0.023
COVA_A,0.004,0.351,0.002,0.008,0.087,0.027,0.004,0,0.025,0.325,0.167
SEBS_A,0.004,0.335,0.001,0.001,0.104,0.023,0.001,0,0.042,0.328,0.162
509_A,0.004,0.284,0.001,0.001,0.126,0.014,0.002,0,0.042,0.356,0.17
