RepGroup,SubGroup,GenePop,Location,NOAA_repunit
UpperYukon,,CMSFKO96L,SouthFkKoyukukR,UpperYukon
UpperYukon,,CMJIM10,JimR,UpperYukon
UpperYukon,,CM17MI10F,MileS(Nenana),UpperYukon
UpperYukon,,CMTAN93,TananaRMainstem,UpperYukon
UpperYukon,,CMTOKA94,ToklatRGeigerCk,UpperYukon
UpperYukon,,CMKAN01,KantishnaR,UpperYukon
UpperYukon,,CMCHE94,ChenaR,UpperYukon
UpperYukon,,CMSAL01,SalchaR,UpperYukon
UpperYukon,,CMDEL94,DeltaR,UpperYukon
UpperYukon,,CMBLU92,BluffCabin,UpperYukon
UpperYukon,,CMBSAL01,BigSaltR,UpperYukon
UpperYukon,,CMCHAN01,ChandalarR,UpperYukon
UpperYukon,,CMSHE92,SheenjekR,UpperYukon
UpperYukon,,CMBLAC95,BlackR,UpperYukon
UpperYukon,,CMOLDC07,OldCrowPorcupineR,UpperYukon
UpperYukon,,CMFBR07UW,FishingBranchd,UpperYukon
UpperYukon,,CMKLUA07,KluaneRd,UpperYukon
UpperYukon,,CMPEL93,PellyR,UpperYukon
UpperYukon,,CMMINTS89,MintoS,UpperYukon
UpperYukon,,CMTATN92,TatchunCk,UpperYukon
UpperYukon,,CMBCK95,BigCk,UpperYukon
UpperYukon,,CMTES92,TeslinR,UpperYukon
UpperYukon,,CMDON94,DonjekR,UpperYukon
NorthernDistrict,,CMWIGG09UW,WigglyCreek-Cinder,SWAK
NorthernDistrict,,CMMES92UW,MeshikRd,SWAK
NorthernDistrict,,CMPLEN09UW,PlentyBearCkMeshik,SWAK
NorthernDistrict,,CMMESB09UW,BraidedCkMeshikRd,SWAK
NorthernDistrict,,CMILNIK02UW,ThreeHillsRd,SWAK
NorthernDistrict,,CMNCSEN10UW,NorthofCapeSeniavind,SWAK
NorthernDistrict,,CMRHMB09UW,RightHandMollerBayd,SWAK
NorthernDistrict,,CMLAW92UW,LawrenceValleyCkd,SWAK
NorthernDistrict,,CMCOAL08UW,CoalValleyd,SWAK
NorthernDistrict,,CMDEERV08UW,DeerValleyd,SWAK
NorthernDistrict,,CMNELSR08UW,SapsukRNelsonLagoond,SWAK
NorthwestDistrict,,CMMOF96UW,MoffetCkd,SWAK
NorthwestDistrict,,CMJOS09UW,DistrictJoshuaGreend,SWAK
NorthwestDistrict,,CMFRO09UW,FrostyCkd,SWAK
NorthwestDistrict,,CMALL96UW,AlligatorHoled,SWAK
NorthwestDistrict,,CMTRA92UW,TradersCoved,SWAK
NorthwestDistrict,,CMSTC09UW,St.CatherineCoved,SWAK
NorthwestDistrict,,CHPET92UW,PetersonLagoond,SWAK
SouthPenninsula,,CMLIJ09UW,LittleJohnLagoond,SWAK
SouthPenninsula,,CMSANC96UW,SandyCoved,SWAK
SouthPenninsula,,CMRUS93UW,RussellCkd,SWAK
SouthPenninsula,,CMDEL96UW,DeltaCkColdBayd,SWAK
SouthPenninsula,,CMBEL92UW,BelkovskiRd,SWAK
SouthPenninsula,,CMVOL09UW,VolcanoBayColdBayd,SWAK
SouthPenninsula,,CMRUB96UW,Ruby'sLagoonPavlofBayd,SWAK
SouthPenninsula,,CMCAN92UW,CanoeBayd,SWAK
SouthPenninsula,,CMZAC92UW,ZacharyBayd,SWAK
SouthPenninsula,,CHBAL92UW,FosterCkBalboaBayd,SWAK
SouthPenninsula,,CMCOL96UW,ColemanCkd,SWAK
SouthPenninsula,,CMCHI96UW,ChichagofBayd,SWAK
SouthPenninsula,,CMSTE09UW,BigRStepovakBayd,SWAK
SouthPenninsula,,CMSTEPR09UW,StepovakRd,SWAK
Chignik/Kodiak,,CMIVAN09UW,Ivanof,SWAK
Chignik/Kodiak,,CMWESJ93UW,PortageCkd,SWAK
Chignik/Kodiak,,CMWESK93UW,NorthFkCkKujulik,SWAK
Chignik/Kodiak,,CMWESE93UW,NorthFkCkAniakchak,SWAK
Chignik/Kodiak,,CMAMBM09UW,MainCkAmberBayd,SWAK
Chignik/Kodiak,,CMNECR08UW,NortheastCkd,SWAK
Chignik/Kodiak,,CMOCEB09UW,OceanBayd,SWAK
Chignik/Kodiak,,CMNAKIL08UW,NakililockRd,SWAK
Chignik/Kodiak,,CMCHIGK09UW,ChiginagakBayRd,SWAK
Chignik/Kodiak,,CMKIAL09UW,KialagvikCkWideBayd,SWAK
Chignik/Kodiak,,CMPASS09UW,PassCkWideBayd,SWAK
Chignik/Kodiak,,CMDRYBR09UW,DryBayRd,SWAK
Chignik/Kodiak,,CMWESD93UW,BearBayCk,SWAK
Chignik/Kodiak,,CMWESG93UW,AlagogshakR,SWAK
Chignik/Kodiak,,CMBIGRI09UW,BigR,SWAK
Chignik/Kodiak,,CMKARL09UW,KarlukLagoon,SWAK
Chignik/Kodiak,,CMSTU09UW,SturgeonR,SWAK
Chignik/Kodiak,,CMBSU92UW,BigSukhoi,SWAK
Chignik/Kodiak,,CMDEAD09UW,DeadmanR,SWAK
Chignik/Kodiak,,CMSITKI09UW,SitkinakIsland,SWAK
Chignik/Kodiak,,CMPORTNE09UW,NEPortage,SWAK
Chignik/Kodiak,,CMBARL09UW,BarlingBayCk,SWAK
Chignik/Kodiak,,CMWKIL09UW,WestKiliudaCk,SWAK
Chignik/Kodiak,,CHDOG92UW,DogBay,SWAK
Chignik/Kodiak,,CMCOXC09UW,CoxcombCk,SWAK
Chignik/Kodiak,,CMGULLC09UW,GullCapeCk,SWAK
Chignik/Kodiak,,CMEAGLH09UW,EagleHarbor,SWAK
Chignik/Kodiak,,CMROUGH09UW,RoughCk,SWAK
Chignik/Kodiak,,CHAME92UW,AmericanR,SWAK
Chignik/Kodiak,,CMRUSSI07UW,RussianR,SWAK
Chignik/Kodiak,,CHKIZ92UW,KizhuyakR,SWAK
Chignik/Kodiak,,CHUGA92UW,UganikR,SWAK
Chignik/Kodiak,,CMSPIRU09UW,SpiridonRUpperd,SWAK
Chignik/Kodiak,,CMZACR09UW,ZacharRd,SWAK
Chignik/Kodiak,,CMKITB09UW,KitoiHd,SWAK
EastofKodiak,,CMMcN96,McNeilRLagoon,GOA/PNW
EastofKodiak,,CMCHU93,ChunilnaR,GOA/PNW
EastofKodiak,,CMSUS96,SusitnaR,GOA/PNW
EastofKodiak,,CMTALK95,TalkeetnaR,GOA/PNW
EastofKodiak,,CMSPINK08,SpinkCk,GOA/PNW
EastofKodiak,,CMLSUS10UW,LittleSusitnaRd,GOA/PNW
EastofKodiak,,CMWILL10,WillowCk,GOA/PNW
EastofKodiak,,CMCARMLK10,CarmenLake,GOA/PNW
EastofKodiak,,CMWILLIW10,WilliwawCk,GOA/PNW
EastofKodiak,,CMBEART10,BeartrapCk,GOA/PNW
EastofKodiak,,CMCONS10,ConstantineCk,GOA/PNW
EastofKodiak,,CMSIWA10,SiwashCk,GOA/PNW
EastofKodiak,,CMWHN09,WallyNoerenbergH,GOA/PNW
EastofKodiak,,CMWEL10,WellsR,GOA/PNW
EastofKodiak,,5P92EKEE,KetaCk,GOA/PNW
EastofKodiak,,CMPWS95A,OlsenCk,GOA/PNW
EastofKodiak,,CMCHILK06,ChilkatRmainstem,GOA/PNW
EastofKodiak,,CMHERM06,HermanCkChilkat,GOA/PNW
EastofKodiak,,CMKLEH06,KlehiniRChilkat,GOA/PNW
